id,name,address,phone,website,email,score,website_quality,digital_presence,automation_score,stage,notes,email_source
28259c08-6e2b-448c-ab72-85c97594085e,Finanche Ltd - Chartered Certified Accountants and Tax Advisors Reading,"100 Grovelands Rd, Reading RG30 2PD, UK",0345 512 0102,https://www.finanche.co.uk/,finance@finanche.co.uk,0,'21/30,'28/30,'26/40,New,,website
784d261c-ee1f-4530-b716-013fe05bfff2,Dead Simple Accounting,"Suite 30, 105 London St, Reading RG1 4QD, UK",0118 359 3666,https://www.deadsimpleaccounting.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmblisting,info@deadsimpleaccounting.co.uk,0,,'10/30,,New,,hunter
4634f818-a3fc-45e9-9a98-bcc7981b8211,Edmonds Accountancy - Reading and Bracknell,"Unit 11, Diddenham Court, Lambwood Hill, Grazeley, Reading RG7 1JQ, UK",0118 988 9899,https://www.edmonds-accountancy.co.uk/,admin@edmonds-accountancy.co.uk,0,,'10/30,,New,,website
fb1f22d6-1c1a-49e7-9e76-4395b0876073,Xapien,"1 Fore St Ave, Barbican, London EC2Y 9DT, UK",020 3332 2018,http://www.xapien.com/,9c@w.kw,0,'4/30,'14/30,'8/40,New,,website
72807530-94d5-4717-bba0-aff35af586c0,Deeper Insights,"Deeper Insights AI Ltd, 4 Winsley Street, Mappin House London W1W 8HF, London EC2M 5NQ, UK",020 3007 2868,https://deeperinsights.com/,,0,'4/30,'14/30,'8/40,New,,
31c2559e-d34c-4d94-8159-614fe1c1343d,Irwin Mitchell Solicitors,"Regus, Churchill Court, 3 Manor Royal, Crawley RH10 9LU, UK",01293 742700,https://www.irwinmitchell.com/our-offices/united-kingdom/gatwick,fitzroy.coward@irwinmitchell.com,0,'26/30,'28/30,'27/40,New,,hunter
b3ab752c-0f05-40c4-8ce6-1bd1e886ff00,data.ai Europe,"2-10 Capper St, London WC1E 6JA, UK",,https://www.data.ai/,wd@yp.ot,0,'17/30,'18/30,'5/40,New,,website
c8bef477-2c27-4858-a2f9-0e892254a6b4,Vale and West,"Victoria House, 26 Queen Victoria St, Reading RG1 1TG, UK",0118 957 3238,https://www.valewest.com/,accountants@valewest.com,0,'25/30,'12/30,'21/40,New,,website
03e5b3b5-4922-49d4-85df-1101a16e3440,N R Engineering Ltd,"159 Cardiff Rd, Reading RG1 8JR, UK",0118 950 5658,http://www.nrengineeringltd.co.uk/,info@nrengineeringltd.co.uk,0,'12/30,'10/30,'21/40,New,,website
2133a0cc-991b-492b-83b5-b2277d2ef9f2,Skin Analytics,"Second Floor, Smithfield Business Centre, 5 St John's Ln, London EC1M 4BH, UK",000-83792618,http://skin-analytics.com/,,0,,'10/30,,New,,
8e9924e7-0c40-42fb-a175-7d01f0fc5a4d,Chart Accountancy,"The Blade, Abbey Square, Reading RG1 3BE, UK",0118 449 2321,https://www.chartaccountancy.com/,info@chartaccountancy.com,0,'4/30,'14/30,'8/40,New,,hunter
aff63cac-11fa-4c94-b1cf-79e44a795d9b,Collins Aerospace,"Building 730, Unit 730 Wharfedale Rd, Winnersh, Wokingham RG41 5TP, UK",0118 935 9000,https://www.collinsaerospace.com/,fred.whiton@collinsaerospace.com,0,'4/30,'14/30,'8/40,New,,hunter
053df573-65b6-4be8-ac9a-3c8707229834,JPS Immigration | UK Visa & Immigration Lawyers,"5A Grace Rd, Crawley RH11 9SB, UK",0333 577 0034,http://www.jpsimmigration.com/,mail@jpsimmigration.com,76,'25/30,'24/30,'27/40,New,,website
40024189-75de-4686-867a-d6f8bc50e338,Holy Brook Accountants,"Curious Lounge, 20 Tudor Rd, Reading RG1 1NH, UK",07914 211828,http://www.holybrook.com/,rachel.eden@holybrook.com,0,'21/30,'28/30,'18/40,New,,hunter
325ddb64-10fa-4d3f-a5ed-cdee490483c2,Qaim Structures Limited,"100 Berkshire Pl, Reading, Winnersh, Wokingham RG41 5RD, UK",07930 849469,https://qaimstructures.co.uk/,info@qaimstructures.co.uk,0,,'10/30,,New,,website
bd155bcd-25c9-4b17-8fcc-02a547b25436,Tadley Engineering Ltd,"Tadley Engineering Ltd Oakworks, Units 1, 8 Silchester Rd, Tadley RG26 3PX, UK",0118 981 0621,http://www.tadleyengineering.co.uk/,jason@tadleyengineering.co.uk,0,,,,New,,hunter
6c2ef888-9c5c-49b7-82cf-f61330445d18,Alphalake AI,"7 Pancras Sq, London N1C 4AG, UK",020 3289 0014,https://alphalake.ai/,hi@alphalake.ai,0,'4/30,'14/30,'8/40,New,,website
6a4822ad-421e-4150-981c-6aec202526ef,Goldstar Accountants Ltd,"63 London St, Reading RG1 4PS, UK",0118 987 5500,http://www.goldstaraccountants.com/,info@goldstaraccountants.com,0,'4/30,'14/30,'8/40,New,,website
230667dc-8143-40cb-b42c-949e681d29b3,Berkshire Accountants Limited,"50A London St, Reading RG1 4SQ, UK",0118 327 4200,https://www.berkshireaccountants.com/,info@berkshireaccountants.com,0,'25/30,'24/30,'21/40,New,,website
3e8a39cf-a1db-491d-ba2e-8646ac0080f9,5Mins AI,"Regus, Ludgate House, 107 - 111 Fleet St, London EC4A 2AB, UK",17455772586,https://5mins.ai/,,0,'4/30,'14/30,'8/40,New,,
2735a069-d302-469b-9a3c-f4c6e2adf200,Redwood Accountants,"26 Martingale Grv, Reading RG2 9HD, UK",0118 995 2011,http://www.redwoodaccountants.com/,rob@redwoodaccountants.com,0,'18/30,'20/30,'18/40,New,,hunter
5dd27991-e62c-450f-a1f0-3261a8c52282,Analytics Intelligence,"1 Canada Square, London E14 5AB, UK",020 7754 9198,http://www.analyticsintelligence.com/,,0,,'10/30,,New,,
8b315341-0e5c-4fb3-9dcc-2a876d764b22,Holistic AI,"17 Hanover Square, London W1S 1BN, UK",07426 079265,https://www.holisticai.com/,,0,'26/30,'28/30,'27/40,New,,
f3b16b31-d3de-46d9-9e44-33caab5505a7,Brimz Financials,"9 Greyfriars Rd, Reading RG1 1NU, UK",07868 668283,https://www.brimzbookkeeping.co.uk/home,brimzbookkeeping@gmail.com,0,'20/30,'22/30,'27/40,New,,website
d595b6dd-7df3-4a7f-9cc3-e0cea4ec3d79,Signal AI,"4th Floor, The Script, 44 Featherstone St, London EC1Y 8RN, UK",020 3828 8200,https://www.signal-ai.com/,,0,,,,New,,
e158d49a-f6fb-4d25-a5de-385d52c51320,stevensdrake Solicitors,"117-119 High St, Crawley RH10 1DD, UK",01293 596900,http://www.stevensdrake.com/,info@stevensdrake.com,0,'21/30,'28/30,'28/40,New,,website
df220a19-700a-4353-88e1-faebb3075be3,Woodley Engineering (Maidenhead) Ltd,"Woodlands Business Park, Woodlands Park Ave, Maidenhead SL6 3UA, UK",01628 828282,http://woodleyengineeringltd.co.uk/,,0,'25/30,'24/30,'22/40,New,,
9d58438f-0ce1-4809-9e3b-e5553c2b0c6a,BenevolentAI,"4-8 Maple St, London W1T 5HD, UK",020 3781 9360,https://benevolent.com/,press@benevolent.ai,61,'28/30,'10/30,'23/40,New,,website
403dd0a6-4292-4369-b762-1a21673f26a6,Reactive,"2nd floor studio, 28 Poland St, London W1F 8QP, UK",020 7018 0909,https://www.web-designlondon.co.uk/,3r@v.nd,79,'26/30,'28/30,'25/40,New,,website
00af5d06-154d-474a-b87f-88229211c3a1,CreativeWeb,"77 New Cavendish St, London W1W 6XB, UK",020 7870 5794,https://www.cbwebsitedesign.co.uk/,info@creativebranddesign.co.uk,82,'26/30,'28/30,'28/40,New,,website
f204cbf0-9be6-490c-b4f5-9a730f127080,LWDA . London Web Design Agency,"G30, 111 Power Rd, Chiswick, London W4 5PY, UK",020 3297 7493,https://www.londonwebdesignagency.com/,hello@lwda.co.uk,26,'4/30,'14/30,'8/40,New,,website
4b316707-ac2f-4477-b405-f0241c415c63,KBN Accountants Limited,"12A Castle St, Reading RG1 7RD, UK",0118 957 2932,http://www.kbnaccountants.co.uk/,info@kbnaccountants.co.uk,54,'14/30,'25/30,'15/40,New,,website
26d4f00d-4d31-43c3-989e-95c870031b27,Growth Accountants,"Merlin House, Brunel Rd, Theale, Reading RG7 4AB, UK",0345 990 0041,http://growth.accountants/,enquiries@growth.accountants,0,,'10/30,,New,,website
ac000433-9bcc-4ac6-bc2c-6ae2d548ac1a,Specialist Accounting Solutions Ltd,"The Blade, Abbey Square, Reading RG1 3BE, UK",0118 911 3777,https://teamsas.co.uk/,info@teamsas.co.uk,0,'28/30,'14/30,'22/40,New,,website
8ae2a59c-e53b-4cf2-9b5b-e985c5e5a405,TaxAssist Accountants,"175 Wokingham Rd, Reading RG6 1LT, UK",0118 926 9284,https://www.taxassist.co.uk/accountants/reading-central/?utm_source=google&utm_medium=google_my_business&utm_campaign=local,lewisjones@taxassist.co.uk,0,,'10/30,,New,,hunter
227f8522-373d-43f6-83d0-c86a3d9f32d5,Goringe Accountants,"Arlington Business Park, 1650 Waterside Dr, Arlington Business Park, Theale, Reading RG7 4SA, UK",0118 914 4500,https://goringeaccountants.co.uk/about/accountants-in-reading/,info@goringeaccountants.co.uk,0,,,,New,,hunter
b8ba5976-7161-4042-a187-5526c6c4f756,Mayo Wynne Baxter Solicitors Crawley,"2, Peveril Court, 6-8 London Rd, Crawley RH10 8JE, UK",01293 561965,https://www.mayowynnebaxter.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=local&utm_content=crawley,cmyrdal@mayowynnebaxter.co.uk,0,,'10/30,,New,,hunter
2de24d5f-5bee-43f4-b04b-83cc96417b17,Assets Accounting Ltd,"Chiltern Chambers, 37 St Peter's Ave, Reading RG4 7DH, UK",0118 946 4700,https://www.assets.ltd.uk/,4700mail@assets.ltd.ukbook,0,'22/30,'28/30,'29/40,New,,website
c5b05aae-4b06-4abb-a217-11465e60ac4e,RVS Media - Ecommerce Web and Software Development Agency London,"white collar factory, 1 Old Street Yard, London EC1Y 8AF, UK",020 3355 8081,https://www.rvsmedia.co.uk/,a@oz.mh,26,'4/30,'14/30,'8/40,New,,website
8985b427-03aa-4b13-bcb7-bf9f137d165d,DCP Web Designers,"65 Khartoum Rd, London IG1 2NR, UK",020 3539 4415,https://www.dcpweb.co.uk/,,0,,,,New,,
2eaf4c0b-a8be-4aa5-ae57-c687c5209508,The UK Web Design Company,"129 Thorpe Rd, London E7 9ED, UK",07944 062954,https://the-web-design-company.co.uk/,office@the-web-design-company.co.uk,85,'25/30,'28/30,'32/40,New,,website
03b34235-dca7-49f4-b19c-e56d4548c7f1,Lilo Web Design Agency,"1ST Floor, 187 Wardour St, London W1F 8ZB, UK",020 7100 1140,https://www.lilo.co.uk/?utm_source=GBP&utm_medium=Organic&utm_campaign=GBPOrganic,info@lilo.co.uk,83,'26/30,'28/30,'29/40,New,,website
11cdcb5b-a9f2-41fb-b08b-46709015f488,Fat Cow Media,"27 Old Gloucester St, London WC1N 3AX, UK",020 3463 1122,https://www.fatcowmedia.co.uk/,,20,'10/30,'10/30,,New,,
afa27093-ffec-4ddd-9a4d-d2cc00b801a2,ClarityDX,"5-25 Scrutton St, London EC2A 4HJ, UK",020 7100 1333,https://claritydx.global/,info@93digital.co.uk,80,'26/30,'28/30,'27/40,New,,website
897cc386-0270-44ee-887a-f349cf8e9887,Digital Web London,"Kemp House, 158 City Rd, London EC1V 2NX, UK",07379 097955,https://www.digitalweblondon.com/,hello@digitalweblondon.com,70,'17/30,'28/30,'25/40,New,,website
e3775963-f0a0-46e7-ae51-0a4f35e0dfaf,Burst Digital,"52 New Kent Rd, London SE1 6SH, UK",+1 (415) 520-8622,https://burstdgtl.com/?utm_source=Google+Business+Profile&utm_medium=Profile+Clicks,hello@burstdgtl.com,26,'4/30,'14/30,'8/40,New,,website
9a5dabf2-ed09-4d9c-9c73-6b4a81ccf0d2,Think Digital - Website Design London,"12-16 Westland Pl, London N1 7LP, UK",020 3576 4448,https://thinkdigital.design/,,0,,,,New,,
621a984a-0cb5-408f-aa86-c14839131fee,Robin,"10 Devonshire Square, London EC2M 4YP, UK",1749062076,https://www.robinai.com/,,77,'26/30,'28/30,'23/40,New,,
d57b5722-5aaf-418e-a21d-99039b00bcc5,Web Bird | Web Design Agency in London,"383 Halley Rd, London E12 6UB, UK",07557 126699,https://webbird.co.uk/,hi@webbird.co.uk,85,'26/30,'28/30,'31/40,New,,website
ee74e3b8-daee-471d-b564-7c0e7cf42700,Top Left Design,"Studio 1, 12 Bourchier St, London W1D 4HZ, UK",020 7036 0560,https://www.topleftdesign.com/?utm_source=GMB&utm_medium=Organic&utm_campaign=GMB_Listing,team@topleftdesign.com,85,'26/30,'28/30,'31/40,New,,website
2c7b097a-8a79-46fc-91f5-af7a5ce82b4c,MX Web Design,"7 Bell Yard, London WC2A 2JR, UK",0333 533 3636,https://mxwebdesign.com/,max@mxwebdesign.comphone,31,'4/30,'14/30,'13/40,New,,website
19ade1ee-b69b-42ad-8855-2df24386547b,KOTA Design Agency,"1-5 Clerkenwell Rd, London EC1M 5PA, UK",020 3951 0562,https://www.kota.co.uk/,hello@kota.co.uk,78,'26/30,'28/30,'24/40,New,,website
ce7e4331-0866-4261-b78e-d3d306ed6c62,London Website Design Services,"83, Norland House, 9queensdale crescent, London W11 4TN, UK",020 8064 2256,https://www.londonwebsitedesignservices.com/,info@londonwebsitedesignservices.com,84,'26/30,'28/30,'30/40,New,,website
b92d876c-59c9-43c7-8357-f8427028b8af,Innovative Web Specialists,"International House, 1/5 Lambeth Rd, London SE1 7DQ, UK",07504 392428,https://www.innovativewebspecialists.co.uk/,innovativewebspecialists@gmail.com,86,'26/30,'28/30,'32/40,New,,website
